"Sample","Fluor","Copies","Inhibited"
"2L-1C","FAM",3852,"NO"
"2L-2A","FAM",1904,"NO"
"2L-2B","FAM",17030,"NO"
"2L-2C","FAM",11000,"NO"
"2L-3A","FAM",2340,"NO"
"2L-3B","FAM",1374,"NO"
"2L-3C","FAM",2536,"NO"
"20L-1A","FAM",273900,"NO"
"20L-1B","FAM",208200,"NO"
"2L-1B","FAM",4283,"NO"
"2L-1C","FAM",3597,"NO"
"2L-2A","FAM",1870,"NO"
"2L-2B","FAM",14700,"NO"
"2L-2C","FAM",11210,"NO"
"2L-3A","FAM",2720,"NO"
"2L-3B","FAM",1647,"NO"
"2L-3C","FAM",2291,"NO"
"20L-1A","FAM",289100,"NO"
"20L-1B","FAM",202800,"NO"
"2L-1B","FAM",5840,"NO"
"2L-1C","FAM",2528,"NO"
"2L-2A","FAM",2056,"NO"
"2L-2B","FAM",11430,"NO"
"2L-2C","FAM",12300,"NO"
"2L-3A","FAM",2887,"NO"
"2L-3B","FAM",1310,"NO"
"2L-3C","FAM",2352,"NO"
"20L-1A","FAM",209800,"NO"
"20L-1B","FAM",201100,"NO"
"2L-1B","FAM",5792,"NO"
"2L-1C","FAM",3854,"NO"
"2L-2A","FAM",2152,"NO"
"2L-2B","FAM",14720,"NO"
"2L-2C","FAM",12120,"NO"
"2L-3A","FAM",2519,"NO"
"2L-3B","FAM",1515,"NO"
"2L-3C","FAM",2627,"NO"
"20L-1A","FAM",199200,"NO"
"20L-1B","FAM",215200,"NO"
"2L-1B","HEX",3277,"NO"
"2L-1C","HEX",2607,"NO"
"2L-2A","HEX",1426,"NO"
"2L-2B","HEX",11050,"NO"
"2L-2C","HEX",7577,"NO"
"2L-3A","HEX",1507,"NO"
"2L-3B","HEX",988.8,"NO"
"2L-3C","HEX",1727,"NO"
"20L-1A","HEX",226800,"NO"
"20L-1B","HEX",152200,"NO"
"2L-1B","HEX",3201,"NO"
"2L-1C","HEX",2720,"NO"
"2L-2A","HEX",1174,"NO"
"2L-2B","HEX",9922,"NO"
"2L-2C","HEX",7632,"NO"
"2L-3A","HEX",1974,"NO"
"2L-3B","HEX",1089,"NO"
"2L-3C","HEX",1678,"NO"
"20L-1A","HEX",212300,"NO"
"20L-1B","HEX",168200,"NO"
"2L-1B","HEX",4344,"NO"
"2L-1C","HEX",1650,"NO"
"2L-2A","HEX",1460,"NO"
"2L-2B","HEX",8704,"NO"
"2L-2C","HEX",9359,"NO"
"2L-3A","HEX",2056,"NO"
"2L-3B","HEX",933.3,"NO"
"2L-3C","HEX",1582,"NO"
"20L-1A","HEX",162500,"NO"
"20L-1B","HEX",144300,"NO"
"2L-1B","HEX",4059,"NO"
"2L-1C","HEX",2808,"NO"
"2L-2A","HEX",1410,"NO"
"2L-2B","HEX",11070,"NO"
"2L-2C","HEX",9409,"NO"
"2L-3A","HEX",1694,"NO"
"2L-3B","HEX",1033,"NO"
"2L-3C","HEX",1982,"NO"
"20L-1A","HEX",157500,"NO"
"20L-1B","HEX",169800,"NO"
"CB-20Jul15","FAM",NA,"NO"
"Neg-Con-23Sep15","FAM",NA,"NO"
"Neg-Con-13Aug15","FAM",NA,"NO"
"Neg-Con-05Aug15","FAM",NA,"NO"
"CB-20Jul15","FAM",NA,"NO"
"Neg-Con-23Sep15","FAM",NA,"NO"
"Neg-Con-13Aug15","FAM",NA,"NO"
"Neg-Con-05Aug15","FAM",NA,"NO"
"CB-20Jul15","FAM",1.072,"NO"
"Neg-Con-23Sep15","FAM",NA,"NO"
"Neg-Con-13Aug15","FAM",NA,"NO"
"Neg-Con-05Aug15","FAM",NA,"NO"
"CB-20Jul15","FAM",NA,"NO"
"Neg-Con-23Sep15","FAM",NA,"NO"
"Neg-Con-13Aug15","FAM",NA,"NO"
"Neg-Con-05Aug15","FAM",NA,"NO"
"CB-20Jul15","HEX",NA,"NO"
"Neg-Con-23Sep15","HEX",NA,"NO"
"Neg-Con-13Aug15","HEX",1.166,"NO"
"Neg-Con-05Aug15","HEX",NA,"NO"
"CB-20Jul15","HEX",NA,"NO"
"Neg-Con-23Sep15","HEX",0.0495,"NO"
"Neg-Con-13Aug15","HEX",NA,"NO"
"Neg-Con-05Aug15","HEX",NA,"NO"
"CB-20Jul15","HEX",NA,"NO"
"Neg-Con-23Sep15","HEX",NA,"NO"
"Neg-Con-13Aug15","HEX",3.015,"NO"
"Neg-Con-05Aug15","HEX",NA,"NO"
"CB-20Jul15","HEX",NA,"NO"
"Neg-Con-23Sep15","HEX",NA,"NO"
"Neg-Con-13Aug15","HEX",NA,"NO"
"Neg-Con-05Aug15","HEX",NA,"NO"
